"index_ts","date","metric","value"
"nasdaq_100_ndx","2025-04-02","low",19157.19921875
"nasdaq_100_ndx","2025-04-02","volume",9126630000
"nasdaq_100_ndx","2025-04-02","close",19581.779296875
"nasdaq_100_ndx","2025-04-02","close_adjusted",19581.779296875
"nasdaq_100_ndx","2025-04-02","high",19707.33984375
"nasdaq_100_ndx","2025-04-02","open",19182.390625
"nasdaq_100_ndx","2025-04-01","volume",7756540000
"nasdaq_100_ndx","2025-04-01","close",19436.419921875
"nasdaq_100_ndx","2025-04-01","close_adjusted",19436.419921875
"nasdaq_100_ndx","2025-04-01","high",19468.619140625
"nasdaq_100_ndx","2025-04-01","low",19095.169921875
"nasdaq_100_ndx","2025-04-01","open",19192.76953125
"nasdaq_100_ndx","2025-03-31","volume",8122180000
"nasdaq_100_ndx","2025-03-31","close",19278.44921875
"nasdaq_100_ndx","2025-03-31","close_adjusted",19278.44921875
"nasdaq_100_ndx","2025-03-31","high",19316.060546875
"nasdaq_100_ndx","2025-03-31","low",18799.19921875
"nasdaq_100_ndx","2025-03-31","open",18998.5390625
"nasdaq_100_ndx","2025-03-28","close",19281.400390625
"nasdaq_100_ndx","2025-03-28","volume",7015410000
"nasdaq_100_ndx","2025-03-28","open",19718.4609375
"nasdaq_100_ndx","2025-03-28","low",19241.5390625
"nasdaq_100_ndx","2025-03-28","high",19752.44921875
"nasdaq_100_ndx","2025-03-28","close_adjusted",19281.400390625
"nasdaq_100_ndx","2025-03-27","close",19798.619140625
"nasdaq_100_ndx","2025-03-27","high",20003.359375
"nasdaq_100_ndx","2025-03-27","low",19740.220703125
"nasdaq_100_ndx","2025-03-27","open",19814.609375
"nasdaq_100_ndx","2025-03-27","volume",8002470000
"nasdaq_100_ndx","2025-03-27","close_adjusted",19798.619140625
"nasdaq_100_ndx","2025-03-26","high",20270.189453125
"nasdaq_100_ndx","2025-03-26","volume",9091510000
"nasdaq_100_ndx","2025-03-26","open",20239.0390625
"nasdaq_100_ndx","2025-03-26","low",19848.490234375
"nasdaq_100_ndx","2025-03-26","close",19916.990234375
"nasdaq_100_ndx","2025-03-26","close_adjusted",19916.990234375
"nasdaq_100_ndx","2025-03-25","low",20164.0703125
"nasdaq_100_ndx","2025-03-25","volume",6475790000
"nasdaq_100_ndx","2025-03-25","open",20196.5
"nasdaq_100_ndx","2025-03-25","high",20292.189453125
"nasdaq_100_ndx","2025-03-25","close_adjusted",20287.830078125
"nasdaq_100_ndx","2025-03-25","close",20287.830078125
"nasdaq_100_ndx","2025-03-24","volume",6787790000
"nasdaq_100_ndx","2025-03-24","close",20180.44921875
"nasdaq_100_ndx","2025-03-24","close_adjusted",20180.44921875
"nasdaq_100_ndx","2025-03-24","high",20208.83984375
"nasdaq_100_ndx","2025-03-24","low",20024.970703125
"nasdaq_100_ndx","2025-03-24","open",20041.2109375
"nasdaq_100_ndx","2025-03-21","low",19409.1796875
"nasdaq_100_ndx","2025-03-21","open",19466.439453125
"nasdaq_100_ndx","2025-03-21","high",19767.98046875
"nasdaq_100_ndx","2025-03-21","close_adjusted",19753.970703125
"nasdaq_100_ndx","2025-03-21","close",19753.970703125
"nasdaq_100_ndx","2025-03-21","volume",8837930000
"nasdaq_100_ndx","2025-03-20","close_adjusted",19677.609375
"nasdaq_100_ndx","2025-03-20","high",19888.849609375
"nasdaq_100_ndx","2025-03-20","low",19549.310546875
"nasdaq_100_ndx","2025-03-20","open",19558.279296875
"nasdaq_100_ndx","2025-03-20","volume",6098330000
"nasdaq_100_ndx","2025-03-20","close",19677.609375
"nasdaq_100_ndx","2025-03-19","volume",6302310000
"nasdaq_100_ndx","2025-03-19","close",19736.66015625
"nasdaq_100_ndx","2025-03-19","close_adjusted",19736.66015625
"nasdaq_100_ndx","2025-03-19","high",19921.619140625
"nasdaq_100_ndx","2025-03-19","low",19497.7890625
"nasdaq_100_ndx","2025-03-19","open",19576.3203125
"nasdaq_100_ndx","2025-03-18","volume",6450530000
"nasdaq_100_ndx","2025-03-18","close",19483.359375
"nasdaq_100_ndx","2025-03-18","close_adjusted",19483.359375
"nasdaq_100_ndx","2025-03-18","high",19676.05078125
"nasdaq_100_ndx","2025-03-18","low",19397.080078125
"nasdaq_100_ndx","2025-03-18","open",19657.099609375
"nasdaq_100_ndx","2025-03-17","open",19670.689453125
"nasdaq_100_ndx","2025-03-17","close_adjusted",19812.240234375
"nasdaq_100_ndx","2025-03-17","close",19812.240234375
"nasdaq_100_ndx","2025-03-17","high",19943.810546875
"nasdaq_100_ndx","2025-03-17","low",19622.470703125
"nasdaq_100_ndx","2025-03-17","volume",6306340000
"nasdaq_100_ndx","2025-03-14","close_adjusted",19704.640625
